epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
79,35.8396,0.06013,1,1,0.08411,0.000594286,0.000594286,0.000594286
80,36.2379,0.00103,1,1,0.08411,0.000580533,0.000580533,0.000580533
81,36.7779,0.00271,1,1,0.08411,0.00056678,0.00056678,0.00056678
82,37.2083,0.00102,1,1,0.10938,0.000553027,0.000553027,0.000553027
83,37.6717,0.02027,1,1,0.10938,0.000539275,0.000539275,0.000539275
84,40.0151,0.00157,1,1,0.10938,0.000525522,0.000525522,0.000525522
85,40.3431,0.03371,1,1,0.10938,0.000511769,0.000511769,0.000511769
86,40.6805,0.00435,1,1,0.04491,0.000498016,0.000498016,0.000498016
87,40.9835,0.00135,1,1,0.04491,0.000484263,0.000484263,0.000484263
88,41.3185,0.00099,1,1,0.04491,0.000470511,0.000470511,0.000470511
89,41.6125,0.00488,1,1,0.04491,0.000456758,0.000456758,0.000456758
90,41.9431,0.05874,1,1,0.08364,0.000443005,0.000443005,0.000443005
91,42.2645,0.02547,1,1,0.08364,0.000429253,0.000429253,0.000429253
92,44.1691,0.00508,1,1,0.08364,0.0004155,0.0004155,0.0004155
93,44.4783,0.00102,1,1,0.08364,0.000401747,0.000401747,0.000401747
94,44.8386,0.0003,1,1,0.09652,0.000387994,0.000387994,0.000387994
95,45.6986,0.00216,1,1,0.09652,0.000374242,0.000374242,0.000374242
96,46.0308,0.0078,1,1,0.09652,0.000360489,0.000360489,0.000360489
97,46.3584,0.00012,1,1,0.09652,0.000346736,0.000346736,0.000346736
98,46.661,0.00177,1,1,0.17568,0.000332983,0.000332983,0.000332983
99,47.0075,0.00134,1,1,0.17568,0.000319231,0.000319231,0.000319231
100,47.314,0.00016,1,1,0.17568,0.000305478,0.000305478,0.000305478
101,47.642,0.39016,1,1,0.17568,0.000291725,0.000291725,0.000291725
102,47.9782,0.14674,1,1,0.13712,0.000277972,0.000277972,0.000277972
103,48.3379,0.00016,1,1,0.13712,0.00026422,0.00026422,0.00026422
104,48.6625,0.0059,1,1,0.13712,0.000250467,0.000250467,0.000250467
105,48.9895,0.00021,1,1,0.13712,0.000236714,0.000236714,0.000236714
106,49.3493,0.15743,0.75,1,0.21873,0.000222961,0.000222961,0.000222961
107,49.8734,0.00188,0.75,1,0.21873,0.000209209,0.000209209,0.000209209
108,51.8421,0.01488,0.75,1,0.21873,0.000195456,0.000195456,0.000195456
109,52.1356,5e-05,0.75,1,0.21873,0.000181703,0.000181703,0.000181703
110,52.4147,0.00089,0.75,1,0.20069,0.00016795,0.00016795,0.00016795
111,53.3151,0.00451,0.75,1,0.20069,0.000154198,0.000154198,0.000154198
112,53.7526,0.00019,0.75,1,0.20069,0.000140445,0.000140445,0.000140445
113,54.094,0.00015,0.75,1,0.20069,0.000126692,0.000126692,0.000126692
114,54.4383,7e-05,0.75,1,0.33735,0.000112939,0.000112939,0.000112939
115,54.7649,0.00011,0.75,1,0.33735,9.91865e-05,9.91865e-05,9.91865e-05
116,55.079,0.00023,0.75,1,0.33735,8.54337e-05,8.54337e-05,8.54337e-05
117,55.3894,0.05006,0.75,1,0.33735,7.1681e-05,7.1681e-05,7.1681e-05
118,55.7207,0.22751,0.75,1,0.26002,5.79283e-05,5.79283e-05,5.79283e-05
119,56.0285,0.12269,0.75,1,0.26002,4.41755e-05,4.41755e-05,4.41755e-05
120,56.3411,0.01303,0.75,1,0.26002,3.04227e-05,3.04227e-05,3.04227e-05
